text,word_count,focus_word,predictability,field,category
"In particular, they are used to engineer one-, two- and three-dimensional lattices for a Hubbard model with pre-specified parameters, and to study phase transitions for antiferromagnetic and spin liquid ordering.",30,lattices,0.8,physics,long
"However, linear approximations of gravitational waves are sufficiently accurate to describe the exceedingly weak waves that are expected to arrive here on Earth from far-off cosmic events, which typically result in relative distances increasing and decreasing by or less.",39,waves,0.9,physics,very_long
"In 1912, The structure of crystalline solids was studied by Max von Laue and Paul Knipping, when they observed the X-ray diffraction pattern of crystals, and concluded that crystals get their structure from periodic lattices of atoms.",37,crystals,1.25,physics,long
"Dark matter has never been detected in the laboratory, and the particle physics nature of dark matter remains completely unknown.",20,detected,0.7,physics,short
"These ideas were unified by Kenneth G. Wilson in 1972, under the formalism of the renormalization group in the context of quantum field theory.",24,unified,0.6,physics,medium
"One consequence of this is that in standard general relativity, the universe began with a singularity, as demonstrated by Roger Penrose and Stephen Hawking in the 1960s.",27,universe,1.15,physics,medium
"This leads to a modification of the original laws of black hole mechanics: for instance, as the second law of black hole mechanics becomes part of the second law of thermodynamics, it is possible for black hole area to decrease—as long as other processes ensure that, overall, entropy increases.",49,entropy,0.8,physics,very_long
"In 1860, James Clerk Maxwell, who was a vocal proponent of atomism, was the first to use statistical mechanics in physics.",21,atomism,1.05,physics,medium
The theory also introduced the notion of an order parameter to distinguish between ordered phases.,15,phases,0.7,physics,short
Thus the energy of radiation becomes a smaller part of the universe's total energy than that of matter as it expands.,21,expands,1.25,physics,medium
"Usually a galaxy has one supermassive black hole with a few million to a few billion solar masses in its center, and its presence is thought to have played an important role in the formation of the galaxy and larger cosmic structures.",42,galaxy,1.25,physics,very_long
"However, baryonic matter also encompasses less common non-primordial black holes, neutron stars, faint old white dwarfs and brown dwarfs, collectively known as massive compact halo objects (MACHOs), which can be hard to detect.",33,stars,0.7,physics,long
"The physical model behind cosmic inflation is extremely simple, but it has not yet been confirmed by particle physics, and there are difficult problems reconciling inflation and quantum field theory.",30,inflation,0.9,physics,medium
"A current is induced in a loop of wire when it is moved toward or away from a magnetic field, or a magnet is moved towards or away from it; the direction of current depends on that of the movement.",40,current,0.8,physics,very_long
"This model was validated experimentally in 1908 by French physicist Jean Perrin, thus providing additional validation for particle theory (and by extension atomic theory).",24,theory,1.15,physics,medium
"References to ""condensed"" states can be traced to earlier sources.",10,states,0.6,physics,short
It has a temperature of 2.7 kelvins today and is isotropic to one part in 105.,16,temperature,1.25,physics,short
Timeline of the Big Bang Observations suggest that the universe began around 13.8 billion years ago.,16,universe,0.9,physics,short
"This became known as the Heisenberg uncertainty principle after the theoretical physicist Werner Heisenberg, who first published a version of it in 1927.",23,Heisenberg,1.35,physics,medium
"The time scale that describes the expansion of the universe is with being the Hubble parameter, which varies with time.",20,time,0.7,physics,medium
"The best-known examples are black holes: if mass is compressed into a sufficiently compact region of space (as specified in the hoop conjecture, the relevant length scale is the Schwarzschild radius), no light from inside can escape to the outside.",40,holes,1.25,physics,very_long
"In addition, relativity theory implies that in moving frames of reference, a magnetic field transforms to a field with a nonzero electric component and conversely, a moving electric field transforms to a nonzero magnetic component, thus firmly showing that the phenomena are two sides of the same coin.",48,field,0.9,physics,very_long
"In 1916, Albert Einstein published his theory of general relativity, which provided a unified description of gravity as a geometric property of space and time.",25,relativity,1.35,physics,medium
"In 1928, Walter Bothe observed that beryllium emitted a highly penetrating, electrically neutral radiation when bombarded with alpha particles.",19,radiation,0.8,physics,short
The Bell Telephone Laboratories was one of the first institutes to conduct a research program in condensed matter physics.,19,physics,0.9,physics,short
"During the Early Middle Ages, atomism was mostly forgotten in western Europe.",12,forgotten,0.7,physics,short
"In 1927, the Belgian Roman Catholic priest Georges Lemaître independently derived the Friedmann–Lemaître–Robertson–Walker equations and proposed, on the basis of the recession of spiral nebulae, that the universe began with the ""explosion"" of a ""primeval atom""—which was later called the Big Bang.",42,universe,1.25,physics,very_long
"Type Ia supernova distance measurements Type Ia supernovae can be used as standard candles to measure extragalactic distances, which can in turn be used to measure how fast the universe has expanded in the past.",35,distances,0.8,physics,long
"That same year, J. J. Thomson conducted an experiment in which he channeled a stream of neon ions through magnetic and electric fields, striking a photographic plate at the other end.",31,ions,1.15,physics,long
"On 30 January 2015, a joint analysis of BICEP2 and Planck data was published and the European Space Agency announced that the signal can be entirely attributed to interstellar dust in the Milky Way.",34,dust,1.05,physics,long
"Predictions, all successful, include the initial abundance of chemical elements formed in a period of primordial nucleosynthesis, the large-scale structure of the universe, and the existence and properties of a ""thermal echo"" from the early cosmos, the cosmic background radiation.",40,universe,1.25,physics,very_long
"The first peak mostly shows the density of baryonic matter, while the third peak relates mostly to the density of dark matter, measuring the density of matter and the density of atoms.",32,density,0.9,physics,long
"A theory of electromagnetism, known as classical electromagnetism, was developed by various physicists during the period between 1820 and 1873 when it culminated in the publication of a treatise by James Clerk Maxwell, which unified the preceding developments into a single theory and discovered the electromagnetic nature of light.",49,electromagnetism,1.35,physics,very_long
"Direct detection Direct detection experiments aim to observe low-energy recoils (typically a few keVs) of nuclei induced by interactions with particles of dark matter, which (in theory) are passing through the Earth.",32,experiments,0.8,physics,long
These oxides are today known as tin(II) oxide (SnO) and tin(IV) oxide (SnO2) respectively.,14,oxide,0.9,physics,short
"In the 1960s and 70s, some physicists felt the more comprehensive name better fit the funding environment and Cold War politics of the time.",24,physicists,0.8,physics,medium
"The Bullet Cluster, the result of a recent collision of two galaxy clusters, provides a challenge for modified gravity theories because its apparent center of mass is far displaced from the baryonic center of mass.",35,cluster,0.7,physics,long
"The phenomenon completely surprised the best theoretical physicists of the time, and it remained unexplained for several decades.",18,physicists,1.25,physics,short
External links From groups Cambridge Cosmology- from Cambridge University (public home page) Cosmology 101 – from the NASA WMAP group Center for Cosmological Physics.,24,cosmology,1.35,physics,medium
"The ΛCDM (Lambda cold dark matter) or Lambda-CDM model is a parametrization of the Big Bang cosmological model in which the universe contains a cosmological constant, denoted by Lambda (Greek Λ), associated with dark energy, and cold dark matter (abbreviated CDM).",41,model,0.9,physics,very_long
"This claim has been subsequently challenged: IBM has stated that Summit can perform samples much faster than claimed, and researchers have since developed better algorithms for the sampling problem used to claim quantum supremacy, giving substantial reductions to or the closing of the gap between Sycamore and classical supercomputers.",49,quantum,1.25,physics,very_long
And planetary models had been suggested as early as 1897 such as the one by Joseph Larmor.,17,models,0.7,physics,short
Further research such as by Bloch on spin waves and Néel on antiferromagnetism led to developing new magnetic materials with applications to magnetic storage devices.,25,magnetic,0.8,physics,medium
"Eventually in 1956, John Bardeen, Leon Cooper and John Schrieffer developed the so-called BCS theory of superconductivity, based on the discovery that arbitrarily small attraction between two electrons of opposite spin mediated by phonons in the lattice can give rise to a bound state called a Cooper pair.",48,superconductivity,0.9,physics,very_long
"Both the problems of baryogenesis and cosmic inflation are very closely related to particle physics, and their resolution might come from high energy theory and experiment, rather than through observations of the universe.",33,physics,1.25,physics,long
"For his discovery of the neutron, Chadwick received the Nobel Prize in 1935.",13,neutron,1.35,physics,short
"Cold atomic gases Ultracold atom trapping in optical lattices is an experimental tool commonly used in condensed matter physics, and in atomic, molecular, and optical physics.",26,physics,0.9,physics,medium
"Under this model an electron could not spiral into the nucleus because it could not lose energy in a continuous manner; instead, it could only make instantaneous ""quantum leaps"" between the fixed energy levels.",34,energy,0.8,physics,long
"This is because masses distributed throughout the universe gravitationally attract, and move toward each other over time.",17,gravitationally,0.9,physics,short
History of the universe The history of the universe is a central issue in cosmology.,15,universe,1.35,physics,short
"An inflationary phase, an additional phase of strongly accelerated expansion at cosmic times of around 10−33 seconds, was hypothesized in 1980 to account for several puzzling observations that were unexplained by classical cosmological models, such as the nearly perfect homogeneity of the cosmic background radiation.",45,expansion,0.8,physics,very_long
The Ising model was solved exactly to show that spontaneous magnetization cannot occur in one dimension but is possible in higher-dimensional lattices.,22,magnetization,1.25,physics,medium
"At first, the expansion is slowed down by gravitation attracting the radiation and matter in the universe.",17,universe,0.7,physics,short
Solar system models proposed before Thompson always resulted in atoms spiraling into the nucleus.,14,atoms,0.6,physics,short
Cosmologists can observationally deduce that the universe is not split into regions of matter and antimatter.,16,matter,0.9,physics,short
In 2012 several groups released preprints which suggest that samarium hexaboride has the properties of a topological insulator in accord with the earlier theoretical predictions.,25,properties,1.15,physics,medium
Quantum oscillations is another experimental method where high magnetic fields are used to study material properties such as the geometry of the Fermi surface.,24,magnetic,0.8,physics,medium
"He based his work on Plato's emission theory wherein he described the mathematical rules of perspective and described the effects of refraction qualitatively, although he questioned that a beam of light from the eye could instantaneously light up the stars every time someone blinked.",44,light,1.05,physics,very_long
The standard cosmological model is known as the Lambda-CDM model.,10,model,1.35,physics,short
"Brownian Motion In 1827, the British botanist Robert Brown observed that dust particles inside pollen grains floating in water constantly jiggled about for no apparent reason.",26,particles,0.7,physics,medium
"Therefore, it remains controversial whether the total energy is conserved in an expanding universe.",14,conserved,0.8,physics,short
"Henri Becquerel found that uranium salts caused fogging of an unexposed photographic plate through a covering paper in a manner similar to X-rays, and Marie Curie discovered that only certain elements gave off these rays of energy, soon discovering the intense radiation of radium.",44,radiation,1.25,physics,very_long
"For him, the fact that his theory gave a straightforward explanation of Mercury's anomalous perihelion shift, discovered earlier by Urbain Le Verrier in 1859, was important evidence that he had at last identified the correct form of the gravitational field equations.",41,evidence,0.7,physics,very_long
"The methods, together with powerful computer simulation, contribute greatly to the explanation of the critical phenomena associated with continuous phase transition.",21,phenomena,0.6,physics,medium
"In 1929, Edwin Hubble provided an observational basis for Lemaître's theory.",11,observational,0.9,physics,short
The Hartree–Fock method accounted for exchange statistics of single particle electron wavefunctions.,12,wavefunctions,1.15,physics,short
"There is no evidence that dark matter is capable of such a wide variety of interactions, since it seems to only interact through gravity (and possibly through some means no stronger than the weak interaction, although until dark matter is better understood, this is only speculation).",46,gravity,1.25,physics,very_long
"Harmonic oscillator As in the classical case, the potential for the quantum harmonic oscillator is given by This problem can either be treated by directly solving the Schrödinger equation, which is not trivial, or by using the more elegant ""ladder method"" first proposed by Paul Dirac.",46,equation,0.8,physics,very_long
"Similarly, models of condensed matter systems have been studied where collective excitations behave like photons and electrons, thereby describing electromagnetism as an emergent phenomenon.",24,electromagnetism,0.7,physics,medium
"Apart from its density and its clustering properties, nothing is known about dark energy.",14,properties,0.6,physics,short
"Although Anderson and Heine helped popularize the name ""condensed matter"", it had been used in Europe for some years, most prominently in the Springer-Verlag journal Physics of Condensed Matter, launched in 1963.",32,matter,1.25,physics,long
"For instance, in 1803 he believed that oxygen atoms were 5.5 times heavier than hydrogen atoms, because in water he measured 5.5 grams of oxygen for every 1 gram of hydrogen and believed the formula for water was HO.",39,hydrogen,0.9,physics,very_long
"Detection of dark matter particles If dark matter is made up of subatomic particles, then millions, possibly billions, of such particles must pass through every square centimeter of the Earth each second.",32,particles,0.8,physics,long
"For example, stars form through gravity, but the particles within them interact and can emit energy in the form of neutrinos and electromagnetic radiation through fusion when they become energetic enough.",31,energy,0.7,physics,long
"Otherwise, these fields do not ""propagate"" freely out into space, carrying their energy away without distance-limit, but rather oscillate, returning their energy to the transmitter if it is not received by a receiver.",33,energy,0.6,physics,long
"However, Hantaro Nagaoka was quoted by Rutherford as the first to suggest a planetary atom in 1904.",17,atom,1.15,physics,short
"Democritus's atomism was refined and elaborated by the later Greek philosopher Epicurus (341–270 BC), and by the Roman Epicurean poet Lucretius (99–55 BC).",23,atomism,0.9,physics,medium
"Adopting better data, in 1806 he concluded that the atomic weight of oxygen must actually be 7 rather than 5.5, and he retained this weight for the rest of his life.",31,oxygen,0.8,physics,long
"EMR of visible or lower frequencies (i.e., visible light, infrared, microwaves, and radio waves) is called non-ionizing radiation, because its photons do not individually have enough energy to ionize atoms or molecules, or break chemical bonds.",36,radiation,1.25,physics,long
"Theoretical models have also been developed to study the physics of phase transitions, such as the Ginzburg–Landau theory, critical exponents and the use of mathematical methods of quantum field theory and the renormalization group.",34,transitions,0.7,physics,long
"The effect on cosmology of the dark energy that these models describe is given by the dark energy's equation of state, which varies depending upon the theory.",27,energy,1.25,physics,medium
"Davy observed that of the forty chemical elements known at the time, twenty-six had metallic properties such as lustre, ductility and high electrical and thermal conductivity.",26,properties,0.8,physics,medium
"The method involves using optical lasers to form an interference pattern, which acts as a lattice, in which ions or atoms can be placed at very low temperatures.",28,pattern,0.7,physics,medium
"Condensed matter physics is the field of physics that deals with the macroscopic and microscopic physical properties of matter, especially the solid and liquid phases which arise from electromagnetic forces between atoms.",32,matter,0.9,physics,long
"When this occurred, light was emitted or absorbed at a frequency proportional to the change in energy (hence the absorption and emission of light in discrete spectra).",27,light,1.15,physics,medium
"In the Liénard–Wiechert potential formulation of the electric and magnetic fields due to motion of a single particle (according to Maxwell's equations), the terms associated with acceleration of the particle are those that are responsible for the part of the field that is regarded as electromagnetic radiation.",47,particle,1.25,physics,very_long
"Dalton proposed that each chemical element is composed of atoms of a single, unique type, and though they cannot be altered or destroyed by chemical means, they can combine to form more complex structures (chemical compounds).",36,atoms,0.9,physics,long
"High magnetic fields will be useful in experimentally testing of the various theoretical predictions such as the quantized magnetoelectric effect, image magnetic monopole, and the half-integer quantum Hall effect.",29,magnetic,0.8,physics,long
The expansion timescale is roughly equal to the age of the universe at each point in time.,17,universe,0.7,physics,short
"Besides LIGO, many other gravitational-wave observatories (detectors) are under construction.",10,observatories,0.6,physics,short
"Examples of underground laboratories with direct detection experiments include the Stawell mine, the Soudan mine, the SNOLAB underground laboratory at Sudbury, the Gran Sasso National Laboratory, the Canfranc Underground Laboratory, the Boulby Underground Laboratory, the Deep Underground Science and Engineering Laboratory and the China Jinping Underground Laboratory.",47,underground,1.25,physics,very_long
"Therefore, since , must be an integer multiple of , This constraint on implies a constraint on the energy levels, yielding A finite potential well is the generalization of the infinite potential well problem to potential wells having finite depth.",40,energy,0.7,physics,very_long
"Emergent properties can also occur at the interface between materials: one example is the lanthanum aluminate-strontium titanate interface, where two band-insulators are joined to create conductivity and superconductivity.",28,materials,0.8,physics,long
"One was Lemaître's Big Bang theory, advocated and developed by George Gamow.",12,theory,0.9,physics,short
"By the early 20th century, scientists had developed fairly detailed and precise models for the structure of matter, which led to more rigorously-defined classifications for the tiny invisible particles that make up ordinary matter.",34,matter,1.25,physics,long
"This energy is not obviously transferred to any other system, so seems to be permanently lost.",16,energy,0.9,physics,short
"The series of peaks can be predicted for any assumed set of cosmological parameters by modern computer codes such as CMBFAST and CAMB, and matching theory to data, therefore, constrains cosmological parameters.",32,parameters,0.8,physics,long
Early mapping of Andromeda with the 300 foot telescope at Green Bank and the 250 foot dish at Jodrell Bank already showed the H-I rotation curve did not trace the expected Keplerian decline.,33,Andromeda,1.15,physics,long
"The case for dark energy was strengthened in 1999, when measurements demonstrated that the expansion of the universe has begun to gradually accelerate.",23,universe,0.9,physics,medium
"Laughlin, in 1983, realized that this was a consequence of quasiparticle interaction in the Hall states and formulated a variational method solution, named the Laughlin wavefunction.",26,interaction,0.7,physics,medium
Steven Weinberg and a number of string theorists (see string landscape) have invoked the 'weak anthropic principle': i.e. the reason that physicists observe a universe with such a small cosmological constant is that no physicists (or any life) could exist in a universe with a larger cosmological constant.,48,universe,1.25,physics,very_long
Cosmologists and particle physicists look for additional violations of the CP-symmetry in the early universe that might account for the baryon asymmetry.,22,universe,0.7,physics,medium
"Very early universe The early, hot universe appears to be well explained by the Big Bang from roughly 10−33 seconds onwards, but there are several problems.",26,universe,0.9,physics,medium
"In astronomical spectroscopy, the Lyman-alpha forest is the sum of the absorption lines arising from the Lyman-alpha transition of neutral hydrogen in the spectra of distant galaxies and quasars.",29,hydrogen,0.8,physics,long
"In his seminal 1927 paper The quantum theory of the emission and absorption of radiation, Dirac coined the term quantum electrodynamics (QED), a theory that adds upon the terms describing the free electromagnetic field an additional interaction term between electric current density and the electromagnetic vector potential.",47,electromagnetic,1.15,physics,very_long
"Simulation of quantum systems Since chemistry and nanotechnology rely on understanding quantum systems, and such systems are impossible to simulate in an efficient manner classically, many believe quantum simulation will be one of the most important applications of quantum computing.",40,quantum,0.9,physics,very_long
"After the advent of quantum mechanics, Lev Landau in 1930 developed the theory of Landau quantization and laid the foundation for the theoretical explanation for the quantum Hall effect discovered half a century later. Magnetism as a property of matter has been known in China since 4000 BC.",48,quantum,1.25,physics,very_long
"This recurring pattern suggested that chemicals do not react in any arbitrary quantity, but in multiples of some basic indivisible unit of mass.",23,mass,0.6,physics,medium
"These stellar conditions make the successive neutron captures very fast, involving very neutron-rich species which then beta-decay to heavier elements, especially at the so-called waiting points that correspond to more stable nuclides with closed neutron shells (magic numbers).",38,neutron,0.8,physics,very_long
More advanced simulations are starting to include baryons and study the formation of individual galaxies.,15,galaxies,0.7,physics,short
The nature of dark energy is one of the most challenging problems in cosmology.,14,cosmology,1.25,physics,short
Galaxy clusters Galaxy clusters are particularly important for dark matter studies since their masses can be estimated in three independent ways: From the scatter in radial velocities of the galaxies within clusters From X-rays emitted by hot gas in the clusters.,41,clusters,0.9,physics,very_long
"The virial theorem suggests that such a particle would not stay bound to the gradually forming object – as the object began to form and compact, the dark matter particles within it would speed up and tend to escape.",39,object,0.8,physics,long
"He measured the mass-to-charge ratio and discovered it was 1800 times smaller than that of hydrogen, the smallest atom.",19,hydrogen,0.7,physics,medium
"Condensed matter physicists seek to understand the behavior of these phases by experiments to measure various material properties, and by applying the physical laws of quantum mechanics, electromagnetism, statistical mechanics, and other theories to develop mathematical models.",37,experiments,0.6,physics,long
"Quantum mechanics arose gradually from theories to explain observations which could not be reconciled with classical physics, such as Max Planck's solution in 1900 to the black-body radiation problem, and the correspondence between energy and frequency in Albert Einstein's 1905 paper which explained the photoelectric effect.",46,quantum,0.9,physics,very_long
"The Einstein model describes a static universe; space is finite and unbounded (analogous to the surface of a sphere, which has a finite area but no edges).",27,universe,0.8,physics,medium
"Since the Huygens–Fresnel principle states that every point of a wavefront is associated with the production of a new disturbance, it is possible for a wavefront to interfere with itself constructively or destructively at different locations producing bright and dark fringes in regular and predictable patterns.",46,wavefront,1.25,physics,very_long
"Translated into the language of spacetime: the straight time-like lines that define a gravity-free inertial frame are deformed to lines that are curved relative to each other, suggesting that the inclusion of gravity necessitates a change in spacetime geometry.",39,spacetime,0.9,physics,very_long
"Because a dark matter particle should have negligible interactions with normal visible matter, it may be detected indirectly as (large amounts of) missing energy and momentum that escape the detectors, provided other (non-negligible) collision products are detected.",37,detectors,1.15,physics,long
"In 1981, theorist Robert Laughlin proposed a theory explaining the unanticipated precision of the integral plateau.",16,theory,1.25,physics,short
"In 1906, Pierre Weiss introduced the concept of magnetic domains to explain the main properties of ferromagnets.",17,magnetic,0.9,physics,short
"A cosmological model, or simply cosmology, provides a description of the largest-scale structures and dynamics of the universe and allows study of fundamental questions about its origin, structure, evolution, and ultimate fate.",32,universe,1.35,physics,long
Avogadro's law allowed him to deduce the diatomic nature of numerous gases by studying the volumes at which they reacted.,20,gases,0.8,physics,medium
"Schrödinger's equation, published in 1926, describes an electron as a wave function instead of as a point particle.",18,electron,0.9,physics,short
"As the universe expands, both matter and radiation become diluted.",10,expands,1.25,physics,short
"However, as these become diluted, the cosmological constant becomes more dominant and the expansion of the universe starts to accelerate rather than decelerate.",23,expansion,0.9,physics,medium
"However, the observational evidence began to support the idea that the universe evolved from a hot dense state.",18,universe,1.35,physics,short
One is a black powder in which for every 100 parts of iron there is about 28 parts of oxygen.,20,iron,0.8,physics,short
"Typically, near-fields have a powerful effect on their own sources, causing an increased ""load"" (decreased electrical reactance) in the source or transmitter, whenever energy is withdrawn from the EM field by a receiver.",33,energy,0.7,physics,long
"Advent of quantum mechanics Drude's classical model was augmented by Wolfgang Pauli, Arnold Sommerfeld, Felix Bloch and other physicists.",19,model,0.8,physics,medium
"This phenomenon arising due to the nature of charge carriers in the conductor came to be termed the Hall effect, but it was not properly explained at the time, since the electron was not experimentally discovered until 18 years later.",40,electron,1.25,physics,long
"It is not known whether the acceleration will continue indefinitely, perhaps even increasing until a big rip, or whether it will eventually reverse, lead to a big freeze, or follow some other scenario.",33,acceleration,0.9,physics,long
"A more compact view of EMR is that the far-field that composes EMR is generally that part of the EM field that has traveled sufficient distance from the source, that it has become completely disconnected from any feedback to the charges and currents that were originally responsible for it.",49,field,1.15,physics,very_long
"Since then, the evolution of the universe has passed through three phases.",12,universe,1.35,physics,short
"To do so effectively, it is crucial to maintain an extremely low background, which is the reason why such experiments typically operate deep underground, where interference from cosmic rays is minimized.",31,experiments,0.8,physics,long
"Nonetheless, because atomism was associated with the philosophy of Epicureanism, which contradicted orthodox Christian teachings, belief in atoms was not considered acceptable by most European philosophers.",26,atoms,0.9,physics,medium
In our universe this happened billions of years ago.,9,universe,1.35,physics,short
"Thomson suggested that atoms were divisible, and that the corpuscles were their building blocks.",14,atoms,0.9,physics,short
"Finally in 1964–65, Walter Kohn, Pierre Hohenberg and Lu Jeu Sham proposed the density functional theory which gave realistic descriptions for bulk and surface properties of metals.",27,theory,1.25,physics,medium
Modern many-body physics The Sommerfeld model and spin models for ferromagnetism illustrated the successful application of quantum mechanics to condensed matter problems in the 1930s.,25,quantum,0.8,physics,medium
"Equations of motion Within the standard cosmological model, the equations of motion governing the universe as a whole are derived from general relativity with a small, positive cosmological constant.",29,universe,1.25,physics,medium
"Quantum physical models of the atom In 1924, Louis de Broglie proposed that all moving particles—particularly subatomic particles such as electrons—exhibit a degree of wave-like behavior.",26,particles,0.9,physics,medium
"A brief overview of these theoretical precursors follows: The earliest successful classical field theory is one that emerged from Newton's law of universal gravitation, despite the complete absence of the concept of fields from his 1687 treatise Philosophiæ Naturalis Principia Mathematica.",41,Newton's,0.7,physics,very_long
"Albert Einstein, in 1922, said regarding contemporary theories of superconductivity that ""with our far-reaching ignorance of the quantum mechanics of composite systems we are very far from being able to compose a theory out of these vague ideas.",38,superconductivity,0.9,physics,long
"Using this idea, he developed the theory of paramagnetism in 1926.",11,paramagnetism,1.35,physics,short
"One way to study structure in the universe is to survey the visible galaxies, in order to construct a three-dimensional picture of the galaxies in the universe and measure the matter power spectrum.",33,galaxies,0.9,physics,long
"Others at this time had already concluded that the oxygen atom must weigh 8 relative to hydrogen equals 1, if one assumes Dalton's formula for the water molecule (HO), or 16 if one assumes the modern water formula (H2O).",39,water,0.8,physics,very_long
"Nonetheless, there have been some scattered successes for alternative hypotheses, such as a 2016 test of gravitational lensing in entropic gravity and a 2020 measurement of a unique MOND effect.",30,gravity,0.6,physics,long
One is a grey powder in which for every 100 parts of tin there is 13.5 parts of oxygen.,19,tin,0.7,physics,short
"Other lines of evidence include observations in gravitational lensing and the cosmic microwave background, along with astronomical observations of the observable universe's current structure, the formation and evolution of galaxies, mass location during galactic collisions, and the motion of galaxies within galaxy clusters.",43,galaxies,1.25,physics,very_long
"In a talk given in 1884, Lord Kelvin estimated the number of dark bodies in the Milky Way from the observed velocity dispersion of the stars orbiting around the center of the galaxy.",33,stars,0.8,physics,long
"Dark matter Evidence from Big Bang nucleosynthesis, the cosmic microwave background, structure formation, and galaxy rotation curves suggests that about 23% of the mass of the universe consists of non-baryonic dark matter, whereas only 4% consists of visible, baryonic matter.",40,universe,0.7,physics,very_long
"Near the critical point, the fluctuations happen over broad range of size scales while the feature of the whole system is scale invariant.",23,fluctuations,1.15,physics,medium
"Historically, the answer has been it cannot, because of two factors: It lacks an efficient means to lose energy Ordinary matter forms dense objects because it has numerous ways to lose energy.",32,energy,0.9,physics,long
"Following this, in the early universe, the evolution of the universe proceeded according to known high energy physics.",18,universe,1.25,physics,short
"For instance: since two liters of hydrogen will react with just one liter of oxygen to produce two liters of water vapor (at constant pressure and temperature), it meant a single oxygen molecule splits in two in order to form two particles of water.",44,oxygen,0.8,physics,very_long
"Einstein published his first paper on relativistic cosmology in 1917, in which he added this cosmological constant to his field equations in order to force them to model a static universe.",31,universe,0.7,physics,long
The other oxide is a white powder in which for every 100 parts of tin there is 27 parts of oxygen.,21,tin,0.6,physics,medium
"An electron can potentially be found at any distance from the nucleus, but, depending on its energy level and angular momentum, exists more frequently in certain regions around the nucleus than others; this pattern is referred to as its atomic orbital.",41,nucleus,0.9,physics,very_long
"The gravitational effects of dark matter are well understood, as it behaves like a cold, non-radiative fluid that forms haloes around galaxies.",22,galaxies,1.25,physics,medium
The second problem was that the planetary model could not explain the highly peaked emission and absorption spectra of atoms that were observed.,23,atoms,0.8,physics,medium
